,rent_time,rent_s_no,time,s_no
49278,2023-04-02 08:44:02,501205023,2023-04-02 08:58:50,501204012
49298,2023-04-02 08:44:58,501205010,2023-04-02 09:00:32,501203053
49299,2023-04-02 08:45:04,501205003,2023-04-02 08:45:11,501205003
49346,2023-04-02 08:46:57,501205030,2023-04-02 08:49:16,501205028
49353,2023-04-02 08:47:13,501205019,2023-04-02 08:50:36,501205028
49354,2023-04-02 08:47:18,501205019,2023-04-02 08:51:16,501205018
49365,2023-04-02 08:47:37,501204024,2023-04-02 08:55:22,501205007
49370,2023-04-02 08:47:52,501205010,2023-04-02 08:50:31,501205009
49406,2023-04-02 08:49:15,501205029,2023-04-02 08:55:16,501203053
49413,2023-04-02 08:49:30,501205005,2023-04-02 09:05:21,501201012
49431,2023-04-02 08:50:06,501205039,2023-04-02 08:57:17,501201017
49454,2023-04-02 08:50:57,501205026,2023-04-02 08:59:26,501204014
49463,2023-04-02 08:51:17,501205020,2023-04-02 08:59:25,501205018
49469,2023-04-02 08:51:23,501205009,2023-04-02 09:11:52,501205028
49485,2023-04-02 08:51:50,501205026,2023-04-02 10:36:55,501205026
49500,2023-04-02 08:52:18,501205009,2023-04-02 10:28:19,501207068
49520,2023-04-02 08:53:05,501205039,2023-04-02 09:38:37,501209024
49562,2023-04-02 08:54:47,501205035,2023-04-02 09:02:22,501203003
49578,2023-04-02 08:55:42,501204003,2023-04-02 08:57:14,501204017
49586,2023-04-02 08:56:03,501204013,2023-04-02 09:05:05,501205028
49606,2023-04-02 08:56:39,501205034,2023-04-02 09:31:58,501201030
49619,2023-04-02 08:57:05,501205012,2023-04-02 09:06:10,501205012
49624,2023-04-02 08:57:25,501204023,2023-04-02 09:03:35,501205038
49646,2023-04-02 08:57:57,501205025,2023-04-02 09:00:25,501205010
49663,2023-04-02 08:58:36,501205023,2023-04-02 09:00:28,501205010
49664,2023-04-02 08:58:37,501204020,2023-04-02 12:11:27,501209035
49684,2023-04-02 08:59:33,501204023,2023-04-02 09:05:27,501204017
49695,2023-04-02 08:59:51,501204011,2023-04-02 09:08:25,501204009
90441,2023-04-03 06:00:39,501205010,2023-04-03 06:23:16,501202043
90471,2023-04-03 06:05:14,501205011,2023-04-03 06:27:57,501204020
90475,2023-04-03 06:05:39,501205011,2023-04-03 06:27:15,501204020
90486,2023-04-03 06:07:37,501204003,2023-04-03 06:13:42,501204008
90496,2023-04-03 06:08:34,501205023,2023-04-03 06:12:16,501201020
90501,2023-04-03 06:09:38,501205011,2023-04-03 06:10:33,501205020
90514,2023-04-03 06:11:47,501205020,2023-04-03 06:18:39,501205025
90519,2023-04-03 06:12:15,501204012,2023-04-03 06:18:17,501204016
90541,2023-04-03 06:15:09,501205006,2023-04-03 06:37:06,501202009
90589,2023-04-03 06:20:23,501205010,2023-04-03 06:30:05,501204022
90611,2023-04-03 06:23:12,501205001,2023-04-03 06:26:36,501205007
90625,2023-04-03 06:24:13,501204003,2023-04-03 06:28:54,501204021
90627,2023-04-03 06:24:21,501205031,2023-04-03 06:39:55,501201030
90664,2023-04-03 06:29:39,501204020,2023-04-03 06:57:49,501205011
90671,2023-04-03 06:29:57,501204020,2023-04-03 06:57:46,501205011
90724,2023-04-03 06:35:27,501205025,2023-04-03 06:41:39,501202043
90739,2023-04-03 06:36:41,501204018,2023-04-03 07:11:52,501204018
90772,2023-04-03 06:38:57,501205003,2023-04-03 06:46:44,501205013
90819,2023-04-03 06:45:43,501205004,2023-04-03 06:58:10,501205021
90826,2023-04-03 06:46:40,501204008,2023-04-03 07:09:57,501202055
90842,2023-04-03 06:48:00,501205031,2023-04-03 06:53:07,501205013
90848,2023-04-03 06:48:36,501205026,2023-04-03 07:04:23,501201019
90850,2023-04-03 06:48:42,501205031,2023-04-03 07:03:12,501203005
90871,2023-04-03 06:50:44,501205028,2023-04-03 07:00:01,501202043
90890,2023-04-03 06:52:04,501205010,2023-04-03 06:55:20,501205009
90898,2023-04-03 06:52:36,501205023,2023-04-03 07:02:22,501201005
90910,2023-04-03 06:53:45,501204020,2023-04-03 07:27:51,501208086
90955,2023-04-03 06:56:00,501205019,2023-04-03 07:37:56,501203052
90957,2023-04-03 06:56:07,501205012,2023-04-03 07:03:43,501208053
90972,2023-04-03 06:57:24,501204011,2023-04-03 08:44:53,501209030
90981,2023-04-03 06:58:10,501205005,2023-04-03 07:04:39,501205008
90987,2023-04-03 06:58:18,501205033,2023-04-03 07:21:56,501205033
90990,2023-04-03 06:58:29,501205005,2023-04-03 07:05:37,501205008
90999,2023-04-03 06:59:08,501205021,2023-04-03 07:08:33,501201013
91007,2023-04-03 06:59:22,501205026,2023-04-03 07:06:53,501201006
91032,2023-04-03 07:01:04,501205012,2023-04-03 07:23:15,501209026
91095,2023-04-03 07:05:18,501205008,2023-04-03 08:54:57,501205005
91099,2023-04-03 07:05:37,501205031,2023-04-03 08:08:08,501204007
91111,2023-04-03 07:06:08,501205008,2023-04-03 08:26:03,501209078
91146,2023-04-03 07:09:19,501204002,2023-04-03 09:14:55,501204007
91158,2023-04-03 07:10:15,501205025,2023-04-03 07:14:11,501202080
91212,2023-04-03 07:13:39,501205008,2023-04-03 07:47:42,501205004
91215,2023-04-03 07:13:51,501205034,2023-04-03 08:50:35,501205034
91239,2023-04-03 07:15:16,501205031,2023-04-03 07:31:37,501205038
91269,2023-04-03 07:16:43,501204009,2023-04-03 07:40:47,501204009
91270,2023-04-03 07:16:43,501204009,2023-04-03 07:40:35,501204009
91277,2023-04-03 07:17:19,501205014,2023-04-03 07:23:03,501205009
91294,2023-04-03 07:18:39,501205025,2023-04-03 07:25:01,501205020
91301,2023-04-03 07:19:20,501204018,2023-04-03 07:51:19,501204020
91303,2023-04-03 07:19:22,501204011,2023-04-03 07:37:49,501209069
91305,2023-04-03 07:19:25,501204011,2023-04-03 07:37:15,501209069
91310,2023-04-03 07:19:47,501205039,2023-04-03 08:00:18,501205039
91397,2023-04-03 07:24:47,501205025,2023-04-03 07:28:16,501205020
91400,2023-04-03 07:24:51,501204007,2023-04-03 07:52:26,501203111
91408,2023-04-03 07:25:16,501205025,2023-04-03 07:28:28,501205020
91422,2023-04-03 07:25:50,501204023,2023-04-03 07:36:01,501205008
91466,2023-04-03 07:29:10,501205020,2023-04-03 07:54:25,501208049
91482,2023-04-03 07:30:08,501205028,2023-04-03 07:32:22,501205013
91487,2023-04-03 07:30:30,501204013,2023-04-03 07:57:53,501204013
91494,2023-04-03 07:30:47,501205006,2023-04-03 07:38:36,501205037
91525,2023-04-03 07:32:25,501205029,2023-04-03 07:40:12,501205029
91544,2023-04-03 07:33:47,501205012,2023-04-03 07:40:22,501202078
91548,2023-04-03 07:33:55,501204014,2023-04-03 07:41:40,501204020
91553,2023-04-03 07:34:19,501204008,2023-04-03 08:30:14,501206048
91555,2023-04-03 07:34:24,501205023,2023-04-03 08:47:58,501205023
91558,2023-04-03 07:34:30,501205018,2023-04-03 07:36:52,501205021
91560,2023-04-03 07:34:35,501205023,2023-04-03 08:25:35,501201011
91574,2023-04-03 07:35:07,501204013,2023-04-03 07:48:20,501205001
91587,2023-04-03 07:35:56,501205003,2023-04-03 08:33:54,501201002
91632,2023-04-03 07:38:28,501205028,2023-04-03 07:41:29,501205013
91635,2023-04-03 07:38:33,501205026,2023-04-03 08:08:34,501205037
91648,2023-04-03 07:39:15,501205012,2023-04-03 07:46:02,501205020
91650,2023-04-03 07:39:17,501205021,2023-04-03 07:59:05,501208111
91661,2023-04-03 07:39:52,501205007,2023-04-03 08:00:17,501207093
91668,2023-04-03 07:40:17,501204003,2023-04-03 07:49:46,501204008
91712,2023-04-03 07:42:21,501205025,2023-04-03 07:48:55,501205001
91760,2023-04-03 07:44:53,501205013,2023-04-03 08:01:54,501201002
91762,2023-04-03 07:44:59,501205013,2023-04-03 08:01:54,501201002
91765,2023-04-03 07:45:24,501204024,2023-04-03 08:17:29,501204017
91770,2023-04-03 07:45:29,501204024,2023-04-03 08:17:34,501204017
91775,2023-04-03 07:45:34,501205013,2023-04-03 08:02:04,501201002
91804,2023-04-03 07:46:28,501205007,2023-04-03 07:48:47,501205021
91814,2023-04-03 07:46:45,501205005,2023-04-03 07:53:08,501201015
91828,2023-04-03 07:47:52,501205005,2023-04-03 07:56:58,501201030
91829,2023-04-03 07:47:53,501205013,2023-04-03 08:01:58,501201002
91844,2023-04-03 07:48:15,501204016,2023-04-03 08:04:47,501204012
91850,2023-04-03 07:48:30,501205021,2023-04-03 08:00:31,501203012
91856,2023-04-03 07:48:57,501205008,2023-04-03 08:28:09,501203064
91857,2023-04-03 07:49:01,501205008,2023-04-03 08:28:23,501203064
91885,2023-04-03 07:50:15,501205003,2023-04-03 08:01:03,501201016
91888,2023-04-03 07:50:19,501205003,2023-04-03 08:01:02,501201016
91904,2023-04-03 07:51:02,501205010,2023-04-03 07:54:20,501205025
91931,2023-04-03 07:52:02,501205014,2023-04-03 07:58:53,501205009
91945,2023-04-03 07:52:40,501205012,2023-04-03 09:35:13,501205012
91972,2023-04-03 07:54:06,501205013,2023-04-03 08:02:07,501201002
91983,2023-04-03 07:54:41,501204023,2023-04-03 08:06:56,501201005
91984,2023-04-03 07:54:48,501205019,2023-04-03 08:12:15,501205027
91992,2023-04-03 07:55:13,501205034,2023-04-03 08:01:09,501205025
92001,2023-04-03 07:55:33,501205030,2023-04-03 07:59:15,501205028
92024,2023-04-03 07:56:38,501204018,2023-04-03 09:06:22,501204018
92057,2023-04-03 07:58:19,501205023,2023-04-03 09:40:50,501205037
92066,2023-04-03 07:58:55,501205012,2023-04-03 08:09:04,501208053
92068,2023-04-03 07:59:02,501205009,2023-04-03 08:21:34,501209024
92074,2023-04-03 07:59:17,501205012,2023-04-03 08:08:46,501208053
92152,2023-04-03 08:03:05,501204023,2023-04-03 08:14:05,501203002
92167,2023-04-03 08:03:47,501204007,2023-04-03 08:43:45,501204014
92169,2023-04-03 08:03:50,501204007,2023-04-03 08:55:21,501202088
92198,2023-04-03 08:05:08,501205025,2023-04-03 08:56:25,501202040
92217,2023-04-03 08:05:56,501205007,2023-04-03 08:08:21,501201002
92221,2023-04-03 08:06:03,501204012,2023-04-03 09:12:22,501204016
92222,2023-04-03 08:06:07,501205008,2023-04-03 08:08:36,501205013
92234,2023-04-03 08:06:38,501205019,2023-04-03 08:48:30,501205019
92236,2023-04-03 08:06:42,501205023,2023-04-03 08:12:14,501202036
92259,2023-04-03 08:07:39,501204013,2023-04-03 08:13:46,501204024
92262,2023-04-03 08:07:48,501204013,2023-04-03 08:14:02,501204024
92271,2023-04-03 08:08:06,501205015,2023-04-03 08:13:22,501203142
92282,2023-04-03 08:08:38,501205019,2023-04-03 08:20:21,501204012
92293,2023-04-03 08:09:36,501204002,2023-04-03 13:49:37,501211002
92294,2023-04-03 08:09:40,501205018,2023-04-03 08:19:34,501203003
92296,2023-04-03 08:09:46,501205037,2023-04-03 08:18:27,501202043
92306,2023-04-03 08:10:13,501204002,2023-04-03 13:49:27,501211002
92307,2023-04-03 08:10:14,501205021,2023-04-03 08:15:04,501205007
92353,2023-04-03 08:11:55,501205006,2023-04-03 08:21:09,501203092
92355,2023-04-03 08:12:02,501205028,2023-04-03 08:38:33,501209043
92361,2023-04-03 08:12:05,501205006,2023-04-03 08:20:59,501203092
92405,2023-04-03 08:14:07,501204012,2023-04-03 10:49:10,501208030
92406,2023-04-03 08:14:08,501205025,2023-04-03 08:18:52,501205020
92411,2023-04-03 08:14:12,501204012,2023-04-03 10:49:57,501208030
92417,2023-04-03 08:14:22,501205009,2023-04-03 08:23:24,501208018
92421,2023-04-03 08:14:28,501205010,2023-04-03 08:52:37,501209042
92510,2023-04-03 08:18:41,501204017,2023-04-03 08:49:07,501202084
92512,2023-04-03 08:18:44,501204017,2023-04-03 08:49:01,501202084
92518,2023-04-03 08:18:54,501204017,2023-04-03 08:49:02,501202084
92611,2023-04-03 08:23:43,501205031,2023-04-03 08:31:21,501205018
92612,2023-04-03 08:23:45,501205031,2023-04-03 08:31:38,501205018
92618,2023-04-03 08:24:02,501204011,2023-04-03 08:26:57,501204024
92661,2023-04-03 08:25:47,501205025,2023-04-03 08:34:01,501201024
92668,2023-04-03 08:26:01,501205025,2023-04-03 08:26:08,501205025
92683,2023-04-03 08:26:42,501205009,2023-04-03 08:42:12,501208016
92686,2023-04-03 08:27:03,501205025,2023-04-03 08:34:08,501201024
92725,2023-04-03 08:28:52,501205034,2023-04-03 08:37:30,501201002
92729,2023-04-03 08:29:01,501205034,2023-04-03 08:40:55,501205006
92734,2023-04-03 08:29:11,501205034,2023-04-03 08:40:59,501205006
92740,2023-04-03 08:29:28,501205022,2023-04-03 08:36:36,501204013
92748,2023-04-03 08:29:52,501204013,2023-04-03 08:40:57,501205001
92753,2023-04-03 08:30:04,501205021,2023-04-03 08:37:31,501201022
92755,2023-04-03 08:30:05,501204016,2023-04-03 09:17:47,501203017
92774,2023-04-03 08:31:02,501205012,2023-04-03 08:33:51,501201015
92795,2023-04-03 08:31:48,501205021,2023-04-03 08:34:47,501201002
92840,2023-04-03 08:33:55,501204021,2023-04-03 08:56:16,501202054
92846,2023-04-03 08:34:29,501204022,2023-04-03 08:53:13,501204021
92856,2023-04-03 08:34:56,501204003,2023-04-03 08:43:56,501204013
92858,2023-04-03 08:34:59,501205018,2023-04-03 08:41:08,501205010
92883,2023-04-03 08:36:12,501204016,2023-04-03 08:40:16,501204015
92910,2023-04-03 08:37:52,501204003,2023-04-03 09:08:49,501204008
92914,2023-04-03 08:38:03,501205022,2023-04-03 08:50:42,501203001
92942,2023-04-03 08:38:47,501205029,2023-04-03 09:11:54,501205008
92944,2023-04-03 08:38:53,501204022,2023-04-03 08:42:07,501204003
92955,2023-04-03 08:39:25,501204021,2023-04-03 08:45:05,501202082
92956,2023-04-03 08:39:25,501204022,2023-04-03 08:41:50,501204003
92964,2023-04-03 08:39:40,501205034,2023-04-03 08:45:12,501202043
92988,2023-04-03 08:40:38,501205008,2023-04-03 08:54:23,501205007
93005,2023-04-03 08:41:18,501205006,2023-04-03 09:03:11,501204013
93007,2023-04-03 08:41:21,501205006,2023-04-03 09:03:13,501204013
93054,2023-04-03 08:43:04,501205010,2023-04-03 09:23:05,501202051
93067,2023-04-03 08:43:34,501204011,2023-04-03 08:49:13,501209023
93093,2023-04-03 08:44:39,501205037,2023-04-03 08:55:58,501201013
93097,2023-04-03 08:44:46,501205029,2023-04-03 09:06:46,501205029
93106,2023-04-03 08:45:06,501204014,2023-04-03 08:55:18,501202088
93113,2023-04-03 08:45:18,501205004,2023-04-03 09:27:44,501207093
93116,2023-04-03 08:45:25,501205004,2023-04-03 09:27:48,501207093
93129,2023-04-03 08:45:45,501205004,2023-04-03 09:27:57,501207093
93132,2023-04-03 08:45:56,501204020,2023-04-03 09:14:09,501209023
93140,2023-04-03 08:46:12,501204003,2023-04-03 09:58:58,501202050
93143,2023-04-03 08:46:15,501204020,2023-04-03 09:13:46,501209023
93147,2023-04-03 08:46:20,501204003,2023-04-03 09:12:15,501209032
93148,2023-04-03 08:46:24,501204013,2023-04-03 09:04:37,501204021
93154,2023-04-03 08:46:40,501204003,2023-04-03 09:58:24,501202050
93155,2023-04-03 08:46:41,501204003,2023-04-03 09:01:38,501204018
93216,2023-04-03 08:48:58,501205021,2023-04-03 08:53:27,501201002
93254,2023-04-03 08:50:41,501205033,2023-04-03 09:05:57,501203111
93255,2023-04-03 08:50:42,501205033,2023-04-03 09:05:50,501203111
93267,2023-04-03 08:51:11,501204021,2023-04-03 10:24:11,501204021
93272,2023-04-03 08:51:15,501205028,2023-04-03 09:03:00,501205038
93273,2023-04-03 08:51:16,501204021,2023-04-03 10:23:58,501204021
93277,2023-04-03 08:51:27,501205031,2023-04-03 08:58:55,501203006
93342,2023-04-03 08:53:46,501205037,2023-04-03 08:59:13,501202043
93352,2023-04-03 08:54:24,501205031,2023-04-03 08:58:10,501204014
93385,2023-04-03 08:55:29,501205009,2023-04-03 08:57:09,501205012
93387,2023-04-03 08:55:31,501205021,2023-04-03 09:31:10,501202035
93407,2023-04-03 08:56:14,501205039,2023-04-03 10:07:57,501202040
93409,2023-04-03 08:56:19,501205014,2023-04-03 09:56:55,501205014
93422,2023-04-03 08:56:42,501205009,2023-04-03 09:10:24,501209065
93431,2023-04-03 08:56:57,501204011,2023-04-03 09:01:50,501204024
93436,2023-04-03 08:57:04,501205009,2023-04-03 09:01:24,501205021
93463,2023-04-03 08:57:54,501205039,2023-04-03 09:30:50,501201002
93488,2023-04-03 08:59:15,501205006,2023-04-03 09:02:41,501201017
136042,2023-04-04 06:03:36,501204020,2023-04-04 06:20:59,501203065
136057,2023-04-04 06:05:49,501205025,2023-04-04 06:08:47,501201020
136074,2023-04-04 06:11:32,501204007,2023-04-04 06:23:27,501209065
136081,2023-04-04 06:11:59,501205013,2023-04-04 07:25:24,501205013
136089,2023-04-04 06:12:44,501205022,2023-04-04 06:24:22,501203003
136090,2023-04-04 06:13:07,501205011,2023-04-04 06:18:18,501205025
136115,2023-04-04 06:16:05,501205006,2023-04-04 06:20:09,501201003
136122,2023-04-04 06:16:28,501205037,2023-04-04 06:22:26,501202043
136182,2023-04-04 06:23:40,501205015,2023-04-04 06:28:59,501203003
136190,2023-04-04 06:24:52,501204003,2023-04-04 06:28:52,501204021
136212,2023-04-04 06:26:36,501205007,2023-04-04 06:34:08,501203013
136240,2023-04-04 06:28:05,501204003,2023-04-04 06:31:33,501204021
136303,2023-04-04 06:35:22,501205011,2023-04-04 06:47:09,501205003
136304,2023-04-04 06:35:26,501205025,2023-04-04 06:43:20,501202043
136319,2023-04-04 06:38:06,501205007,2023-04-04 07:08:18,501205007
136325,2023-04-04 06:38:27,501204009,2023-04-04 06:49:19,501203121
136342,2023-04-04 06:40:41,501205006,2023-04-04 07:06:30,501205006
136362,2023-04-04 06:42:57,501205022,2023-04-04 07:40:19,501205022
136380,2023-04-04 06:44:59,501204007,2023-04-04 07:22:44,501205021
136413,2023-04-04 06:48:46,501204009,2023-04-04 08:22:04,501204009
136428,2023-04-04 06:49:57,501205023,2023-04-04 07:14:05,501201029
136446,2023-04-04 06:51:53,501204009,2023-04-04 08:22:19,501204009
136456,2023-04-04 06:52:52,501205039,2023-04-04 07:33:08,501205039
136457,2023-04-04 06:52:58,501204007,2023-04-04 07:53:24,501201011
136524,2023-04-04 06:59:27,501205011,2023-04-04 07:13:19,501205038
136526,2023-04-04 06:59:32,501205021,2023-04-04 07:14:07,501203048
136547,2023-04-04 07:00:17,501205022,2023-04-04 07:38:29,501205022
136600,2023-04-04 07:04:07,501205025,2023-04-04 07:21:27,501205025
136602,2023-04-04 07:04:12,501205025,2023-04-04 07:09:29,501201003
136626,2023-04-04 07:06:01,501204023,2023-04-04 07:49:19,501204023
136820,2023-04-04 07:20:13,501205005,2023-04-04 07:25:38,501201015
136828,2023-04-04 07:20:30,501204014,2023-04-04 07:47:38,501202081
136847,2023-04-04 07:21:30,501204016,2023-04-04 08:35:29,501204016
136851,2023-04-04 07:21:50,501205014,2023-04-04 07:52:51,501205014
136892,2023-04-04 07:24:08,501205031,2023-04-04 07:44:24,501202001
136927,2023-04-04 07:26:29,501205039,2023-04-04 07:32:58,501203013
136932,2023-04-04 07:26:45,501205006,2023-04-04 07:32:19,501203003
136949,2023-04-04 07:28:23,501204011,2023-04-04 07:35:01,501209023
136955,2023-04-04 07:28:54,501205031,2023-04-04 07:48:47,501205031
136969,2023-04-04 07:29:46,501205010,2023-04-04 07:51:32,501205010
136975,2023-04-04 07:30:12,501204002,2023-04-04 07:48:28,501204002
136992,2023-04-04 07:31:14,501205010,2023-04-04 07:33:21,501205025
136995,2023-04-04 07:31:18,501205028,2023-04-04 07:42:23,501205019
137003,2023-04-04 07:31:36,501205026,2023-04-04 07:55:58,501202043
137020,2023-04-04 07:32:18,501205034,2023-04-04 08:45:02,501205034
137052,2023-04-04 07:33:50,501204013,2023-04-04 07:44:39,501205021
137069,2023-04-04 07:34:51,501204014,2023-04-04 07:41:25,501204020
137104,2023-04-04 07:36:51,501205007,2023-04-04 07:58:57,501207093
137119,2023-04-04 07:37:36,501204011,2023-04-04 07:50:58,501209085
137136,2023-04-04 07:38:19,501204009,2023-04-04 07:51:52,501205025
137150,2023-04-04 07:39:11,501205014,2023-04-04 07:45:34,501205025
137159,2023-04-04 07:39:40,501205018,2023-04-04 08:33:06,501205018
137172,2023-04-04 07:40:17,501205004,2023-04-04 08:08:44,501201004
137173,2023-04-04 07:40:18,501204024,2023-04-04 07:48:23,501202085
137175,2023-04-04 07:40:24,501205014,2023-04-04 07:45:03,501205021
137177,2023-04-04 07:40:27,501204024,2023-04-04 07:48:19,501202085
137181,2023-04-04 07:40:34,501204003,2023-04-04 07:43:44,501204018
137211,2023-04-04 07:42:05,501205031,2023-04-04 08:01:31,501202077
137224,2023-04-04 07:42:43,501204011,2023-04-04 07:48:04,501204024
137226,2023-04-04 07:42:57,501205034,2023-04-04 07:48:46,501205025
137266,2023-04-04 07:45:29,501204020,2023-04-04 08:34:50,501202088
137294,2023-04-04 07:47:09,501205001,2023-04-04 08:03:18,501201026
137301,2023-04-04 07:47:50,501205018,2023-04-04 07:50:32,501205008
137320,2023-04-04 07:49:04,501204007,2023-04-04 08:33:45,501203111
137322,2023-04-04 07:49:10,501204004,2023-04-04 09:23:46,501208046
137359,2023-04-04 07:51:09,501205023,2023-04-04 07:59:00,501205009
137391,2023-04-04 07:52:51,501204016,2023-04-04 08:25:59,501204016
137417,2023-04-04 07:55:06,501205039,2023-04-04 07:59:21,501201005
137431,2023-04-04 07:56:00,501205010,2023-04-04 07:58:42,501205025
137472,2023-04-04 07:57:57,501205012,2023-04-04 08:03:34,501208053
137476,2023-04-04 07:58:04,501205031,2023-04-04 08:26:57,501205031
137488,2023-04-04 07:58:56,501205008,2023-04-04 08:47:42,501202082
137489,2023-04-04 07:59:02,501204016,2023-04-04 08:19:22,501204016
137492,2023-04-04 07:59:17,501204015,2023-04-04 08:31:15,501204014
137499,2023-04-04 07:59:44,501205021,2023-04-04 08:30:10,501205021
137503,2023-04-04 07:59:57,501205004,2023-04-04 08:09:34,501205021
137521,2023-04-04 08:01:01,501205021,2023-04-04 08:17:20,501203114
137553,2023-04-04 08:02:44,501205014,2023-04-04 08:16:42,501205025
137554,2023-04-04 08:03:00,501204016,2023-04-04 08:54:49,501202050
137557,2023-04-04 08:03:04,501204016,2023-04-04 08:56:53,501202082
137568,2023-04-04 08:03:51,501205018,2023-04-04 08:16:06,501202043
137570,2023-04-04 08:03:56,501204023,2023-04-04 08:14:19,501203002
137641,2023-04-04 08:07:51,501204012,2023-04-04 08:10:05,501204003
137662,2023-04-04 08:08:52,501204012,2023-04-04 08:11:26,501204020
137675,2023-04-04 08:09:36,501204011,2023-04-04 08:51:22,501203035
137702,2023-04-04 08:10:52,501205025,2023-04-04 08:17:37,501201024
137711,2023-04-04 08:11:10,501205025,2023-04-04 08:17:36,501201024
137712,2023-04-04 08:11:23,501204018,2023-04-04 09:13:39,501204018
137720,2023-04-04 08:12:07,501205010,2023-04-04 08:20:02,501205037
137732,2023-04-04 08:12:57,501205039,2023-04-04 08:27:48,501205039
137739,2023-04-04 08:13:08,501204011,2023-04-04 08:20:01,501204015
137761,2023-04-04 08:14:07,501204003,2023-04-04 08:22:28,501204003
137822,2023-04-04 08:16:40,501205028,2023-04-04 09:18:56,501205028
137824,2023-04-04 08:16:43,501205028,2023-04-04 09:19:04,501205028
137841,2023-04-04 08:17:42,501204024,2023-04-04 08:26:25,501204014
137843,2023-04-04 08:17:47,501204024,2023-04-04 08:26:28,501204014
137855,2023-04-04 08:18:32,501204024,2023-04-04 08:26:35,501204014
137883,2023-04-04 08:20:14,501205018,2023-04-04 08:40:49,501205028
137885,2023-04-04 08:20:19,501205008,2023-04-04 09:16:31,501205008
137914,2023-04-04 08:21:44,501204023,2023-04-04 08:38:30,501203001
137949,2023-04-04 08:23:13,501205013,2023-04-04 08:29:44,501205021
137964,2023-04-04 08:23:51,501204014,2023-04-04 08:32:12,501204021
137972,2023-04-04 08:24:08,501205012,2023-04-04 08:26:34,501201015
138024,2023-04-04 08:26:11,501205007,2023-04-04 08:52:54,501205007
138029,2023-04-04 08:26:25,501204024,2023-04-04 08:30:32,501204023
138038,2023-04-04 08:26:57,501205008,2023-04-04 08:44:20,501202034
138042,2023-04-04 08:27:00,501205008,2023-04-04 08:44:10,501202034
138043,2023-04-04 08:27:12,501204021,2023-04-04 08:49:24,501204021
138044,2023-04-04 08:27:14,501205018,2023-04-04 08:33:24,501205013
138057,2023-04-04 08:27:41,501204009,2023-04-04 08:48:49,501209016
138083,2023-04-04 08:28:51,501205012,2023-04-04 09:27:01,501205012
138099,2023-04-04 08:29:44,501205025,2023-04-04 08:40:12,501205012
138143,2023-04-04 08:32:18,501205018,2023-04-04 08:43:07,501205018
138158,2023-04-04 08:32:53,501205007,2023-04-04 08:43:52,501204021
138189,2023-04-04 08:34:24,501204020,2023-04-04 08:45:01,501204020
138190,2023-04-04 08:34:26,501204023,2023-04-04 08:59:05,501203053
138197,2023-04-04 08:34:42,501204023,2023-04-04 08:58:46,501203053
138199,2023-04-04 08:34:44,501205018,2023-04-04 08:41:11,501205010
138226,2023-04-04 08:35:51,501205013,2023-04-04 08:44:24,501205026
138238,2023-04-04 08:36:13,501205025,2023-04-04 09:41:16,501209028
138244,2023-04-04 08:36:30,501205018,2023-04-04 09:17:07,501205014
138251,2023-04-04 08:36:46,501205031,2023-04-04 11:39:27,501205031
138252,2023-04-04 08:36:54,501205018,2023-04-04 08:49:27,501205014
138305,2023-04-04 08:39:01,501205009,2023-04-04 08:43:51,501205021
138323,2023-04-04 08:39:41,501204009,2023-04-04 08:52:59,501205007
138326,2023-04-04 08:39:46,501205012,2023-04-04 09:04:35,501202009
138359,2023-04-04 08:40:55,501205015,2023-04-04 08:46:40,501203003
138393,2023-04-04 08:42:30,501205015,2023-04-04 08:46:42,501203003
138436,2023-04-04 08:44:21,501205039,2023-04-04 09:03:36,501205011
138438,2023-04-04 08:44:29,501205039,2023-04-04 08:57:48,501204017
138443,2023-04-04 08:44:51,501205033,2023-04-04 09:45:26,501204023
138447,2023-04-04 08:44:52,501205033,2023-04-04 09:45:47,501204023
138461,2023-04-04 08:45:15,501205023,2023-04-04 08:57:34,501205006
138462,2023-04-04 08:45:16,501205034,2023-04-04 08:58:30,501201002
138473,2023-04-04 08:45:38,501205034,2023-04-04 08:58:24,501201002
138474,2023-04-04 08:45:43,501205033,2023-04-04 09:45:36,501204023
138478,2023-04-04 08:45:52,501205033,2023-04-04 09:45:31,501204023
138510,2023-04-04 08:47:04,501205012,2023-04-04 09:29:52,501209023
138512,2023-04-04 08:47:10,501204011,2023-04-04 08:54:17,501204003
138519,2023-04-04 08:47:20,501205039,2023-04-04 10:21:07,501204020
138522,2023-04-04 08:47:33,501204003,2023-04-04 08:55:33,501204013
138562,2023-04-04 08:48:48,501205012,2023-04-04 09:30:06,501209023
138568,2023-04-04 08:49:03,501204016,2023-04-04 09:02:00,501204008
138570,2023-04-04 08:49:04,501204003,2023-04-04 08:57:54,501204009
138591,2023-04-04 08:50:21,501205023,2023-04-04 09:34:25,501209028
138644,2023-04-04 08:52:00,501205006,2023-04-04 09:05:20,501205010
138649,2023-04-04 08:52:13,501205021,2023-04-04 09:25:09,501205021
138672,2023-04-04 08:53:18,501205028,2023-04-04 09:00:42,501205031
138676,2023-04-04 08:53:25,501205007,2023-04-04 09:06:56,501202055
138689,2023-04-04 08:53:58,501205009,2023-04-04 09:09:15,501205010
138698,2023-04-04 08:54:12,501205029,2023-04-04 09:21:00,501202047
138703,2023-04-04 08:54:25,501205028,2023-04-04 09:00:46,501205031
